PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME
203584,Troy Daniels,1610612747,Lakers
203585,Rodney McGruder,1610612746,Clippers
203586,Charlie Westbrook,1610612749,Bucks
203587,Courtney Fells,1610612759,Spurs
203588,Michael Lee,1610612739,Cavaliers
203589,Olek Czyz,1610612749,Bucks
203590,Trey McKinney-Jones,1610612754,Pacers
203613,Jonathon Simmons,1610612755,76ers
203629,Garlon Green,1610612740,Pelicans
203648,Thanasis Antetokounmpo,1610612749,Bucks
203658,Norvel Pelle,1610612755,76ers
203687,Reggie Hearn,1610612747,Lakers
203705,Josh Magette,1610612753,Magic
203710,C.J. Williams,1610612751,Nets
203798,PJ Hairston,1610612745,Rockets
203805,Will Cherry,1610612744,Warriors
203810,Casper Ware,1610612764,Wizards
203816,Scotty Hopson,1610612760,Thunder
203893,Russ Smith,1610612763,Grizzlies
203894,Shabazz Napier,1610612750,Timberwolves
203895,Jordan McRae,1610612764,Wizards
203897,Zach LaVine,1610612741,Bulls
203898,Tyler Ennis,1610612747,Lakers
203900,Markel Brown,1610612745,Rockets
203901,Elfrid Payton,1610612752,Knicks
203902,Semaj Christon,1610612760,Thunder
203903,Jordan Clarkson,1610612739,Cavaliers
203905,Aaron Craft,1610612744,Warriors
203906,Devyn Marble,1610612744,Warriors
203909,KJ McDaniels,1610612760,Thunder
203910,Nick Johnson,1610612759,Spurs
203912,C.J. Wilcox,1610612754,Pacers
203913,Jabari Brown,1610612747,Lakers
203914,Gary Harris,1610612743,Nuggets
203915,Spencer Dinwiddie,1610612751,Nets
203917,Nik Stauskas,1610612739,Cavaliers
203918,Rodney Hood,1610612757,Trail Blazers
203919,Jordan Adams,1610612763,Grizzlies
203920,Khem Birch,1610612753,Magic
203921,Cleanthony Early,1610612752,Knicks
203922,Glenn Robinson III,1610612744,Warriors
203923,James Young,1610612755,76ers
203924,Jerami Grant,1610612743,Nuggets
203925,Joe Harris,1610612751,Nets
203926,Doug McDermott,1610612754,Pacers
203927,CJ Fair,1610612754,Pacers
203928,Cory Jefferson,1610612739,Cavaliers
